model,accuracy,precision,recall,f1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,test_rows
random_forest,0.9434633574868746,0.745552035096271,0.9219409282700421,0.8244171944481876,0.9845335733792039,18685,1044,259,3059,23047
logistic_regression,0.8922636351802837,0.580180526214711,0.9104882459312839,0.7087390029325513,0.9652493059130849,17543,2186,297,3021,23047
svm,0.8888358571614526,0.5710793531402782,0.9153104279686558,0.7033348772579898,0.9646112601519119,17448,2281,281,3037,23047
heuristic_baseline,0.8726515381611489,0.7338217338217338,0.1811332127787824,0.2905487067923616,0.5809386185220833,19511,218,2717,601,23047
