experiment,removed_group,removed_feature_count,remaining_feature_count,removed_features,folds,rows,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,f1_delta_from_all_features,recall_delta_from_all_features,roc_auc_delta_from_all_features
all_features,,0,28,,5,115231,0.7409376270423818,0.005040005364272583,0.9233273056057867,0.005646793696747615,0.8221362426287,0.005190046858559953,0.9842344451003993,0.0012408089204685479,0.0,0.0,0.0
without_keyword_features,keyword_features,1,27,suspicious_keyword_count,5,115231,0.7373808015240426,0.0073667890745908494,0.921036769138035,0.005082629049748718,0.8190340804042929,0.006464824533314583,0.9839479933625859,0.0010973350898062398,-0.003102162224407068,-0.0022905364677516804,-0.00028645173781338684
without_length_features,length_features,4,24,"url_length, hostname_length, path_length, query_length",5,115231,0.7210866728575771,0.008046827091839175,0.9221820373719108,0.0056009234383688255,0.8093208600094475,0.007009533950709718,0.9833800554871599,0.0013089236674241702,-0.012815382619252524,-0.0011452682338758402,-0.0008543896132393591
without_structural_features,structural_features,3,25,"path_depth, query_parameter_count, subdomain_count",5,115231,0.7174774103937978,0.003239939542330402,0.9223025919228451,0.005238924071763896,0.8070972554256144,0.0040456581058911,0.9828001480638162,0.00128667227860148,-0.015038987203085608,-0.001024713682941547,-0.0014342970365830432
without_complexity_features,complexity_features,1,27,entropy,5,115231,0.6948611611240578,0.013636509247550487,0.9277275467148884,0.005748189657086021,0.7945061511724478,0.009304344017181434,0.9826561926600599,0.001257248053465248,-0.02763009145625217,0.004400241109101755,-0.0015782524403393783
without_binary_indicators,binary_indicators,5,23,"uses_https, has_ip_host, has_port, has_query, has_fragment",5,115231,0.7181777519906809,0.0049135531478910945,0.8808921036769138,0.004979355377471581,0.791234698595768,0.00283923954376735,0.9723415278992663,0.0016812327934041821,-0.030901544032931993,-0.042435201928872845,-0.011892917201132946
without_character_composition,character_composition,14,14,"digit_count, letter_count, special_char_count, dot_count, hyphen_count, underscore_count, slash_count, question_mark_count, equals_count, ampersand_count, at_symbol_count, digit_ratio, special_char_ratio, hostname_digit_ratio",5,115231,0.6564698122133983,0.0035181082362576916,0.9154912597950572,0.005500115597116511,0.7646368064490725,0.0039889825286031425,0.9761553409366241,0.001120004251798045,-0.057499436179627494,-0.007836045810729497,-0.008079104163775108
